,,,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,,,,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022
State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered)
BR,Bihar,Samastipur,4095284,232500,371,2416158,1679126,1896857,2197561,866,145653,3949631,BR,Bihar,Samastipur,4115429.0,246450.0,313.0,2429837.0,1682066.0,1904867.0,2206165.0,871.0,158165.0,3957264.0
BR,Bihar,Saran,3915742,144409,80,2285675,1630067,1862936,2051686,1120,714902,3200840,BR,Bihar,Saran,3950257.0,370100.0,212.0,2312164.0,1636050.0,1878028.0,2069059.0,1127.0,739818.0,3210439.0
BR,Bihar,Sheikhpura,603013,17760,69,347276,255737,294030,308875,108,12782,590231,BR,Bihar,Sheikhpura,606778.0,25500.0,78.0,349563.0,256228.0,295402.0,310281.0,108.0,14379.0,592399.0
BR,Bihar,Sheohar,627705,400,2,352094,275611,297627,329963,115,11255,616450,BR,Bihar,Sheohar,632504.0,27350.0,113.0,354885.0,277000.0,299549.0,332220.0,116.0,13701.0,618803.0
BR,Bihar,Sitamarhi,3012911,87900,253,1722501,1290410,1391112,1621285,514,56554,2956357,BR,Bihar,Sitamarhi,3035230.0,194750.0,355.0,1738848.0,1294359.0,1400335.0,1632356.0,515.0,70737.0,2964493.0
BR,Bihar,Siwan,3791405,125514,95,2279394,1512011,1853245,1936781,1379,281011,3510394,BR,Bihar,Siwan,3814101.0,410240.0,181.0,2298180.0,1514950.0,1863264.0,1948475.0,1391.0,298480.0,3515621.0
BR,Bihar,Supaul,2177693,103139,92,1289070,888623,1032752,1144439,502,121264,2056429,BR,Bihar,Supaul,2190674.0,118821.0,104.0,1297364.0,891046.0,1038150.0,1149755.0,505.0,128773.0,2061901.0
BR,Bihar,Vaishali,3484369,108270,212,2013391,1470978,1680580,1802733,1056,140385,3343984,BR,Bihar,Vaishali,3503370.0,166920.0,281.0,2026548.0,1474638.0,1688867.0,1811259.0,1060.0,151834.0,3351536.0
BR,Bihar,West Champaran,3765091,529350,617,2148408,1616683,1885169,1879099,823,78175,3686916,BR,Bihar,West Champaran,3785374.0,564470.0,641.0,2162957.0,1620217.0,1894270.0,1888078.0,826.0,90957.0,3694417.0
CH,Chandigarh,Chandigarh,1860095,28450,61,1054076,806019,1062629,797148,318,31335,1828760,CH,Chandigarh,Chandigarh,1874253.0,39670.0,88.0,1062149.0,811140.0,1070600.0,802364.0,325.0,35496.0,1838757.0
CT,Chhattisgarh,Balod,1057880,33189,37,626335,431545,502936,554773,171,128833,929047,CT,Chhattisgarh,Balod,1062528.0,173482.0,85.0,627804.0,433486.0,504637.0,556480.0,173.0,130296.0,932232.0
CT,Chhattisgarh,Baloda Bazar,1244348,2920,8,842474,401874,611158,633076,114,179741,1064607,CT,Chhattisgarh,Baloda Bazar,1253211.0,157120.0,166.0,847324.0,405346.0,615149.0,637405.0,116.0,184180.0,1069031.0
CT,Chhattisgarh,Balrampur,917292,16515,18,612367,304925,469663,447525,104,69131,848161,CT,Chhattisgarh,Balrampur,920971.0,238394.0,149.0,614116.0,306790.0,471379.0,449422.0,105.0,70791.0,850180.0
CT,Chhattisgarh,Bastar,893616,17438,36,567125,326491,433963,459506,147,98445,795171,CT,Chhattisgarh,Bastar,897228.0,81037.0,139.0,568527.0,327983.0,435303.0,461060.0,147.0,99629.0,797599.0
CT,Chhattisgarh,Bametara,896042,4900,8,591143,304899,433905,462021,116,92017,804025,CT,Chhattisgarh,Bametara,901382.0,128090.0,150.0,591949.0,308505.0,435983.0,464355.0,116.0,92663.0,808719.0
CT,Chhattisgarh,Bijapur,198078,10952,59,125900,72178,107537,90509,32,22368,175710,CT,Chhattisgarh,Bijapur,198868.0,11914.0,61.0,126433.0,72377.0,107901.0,90877.0,32.0,22803.0,176065.0
CT,Chhattisgarh,Bilaspur,2229940,98996,197,1241043,988897,1107607,1122000,333,243501,1986439,CT,Chhattisgarh,Bilaspur,2239382.0,106104.0,228.0,1246327.0,992462.0,1112030.0,1126425.0,334.0,248228.0,1991154.0
CT,Chhattisgarh,Dakshin Bastar Dantewada,339384,0,0,192005,147379,166676,172649,59,51908,287476,CT,Chhattisgarh,Dakshin Bastar Dantewada,340361.0,12090.0,50.0,192777.0,147454.0,167027.0,173145.0,59.0,52665.0,287696.0
CT,Chhattisgarh,Dhamtari,977026,7390,15,603922,373104,461303,515591,132,125570,851456,CT,Chhattisgarh,Dhamtari,983213.0,82104.0,144.0,605367.0,377389.0,464331.0,518292.0,132.0,126786.0,856427.0
CT,Chhattisgarh,Durg,2105334,62991,105,1241656,863678,1030846,1074220,268,353006,1749814,CT,Chhattisgarh,Durg,2117919.0,245136.0,197.0,1245050.0,867980.0,1034692.0,1078068.0,270.0,355968.0,1759437.0
CT,Chhattisgarh,Gariaband,609922,46402,37,410189,199733,292920,316933,69,67215,542707,CT,Chhattisgarh,Gariaband,612728.0,132071.0,152.0,410953.0,201610.0,294227.0,318265.0,71.0,67722.0,545006.0
CT,Chhattisgarh,Gaurela Pendra Marwahi,351866,0,0,223778,128088,170010,181807,49,41922,309944,CT,Chhattisgarh,Gaurela Pendra Marwahi,353063.0,28450.0,24.0,224369.0,128636.0,170509.0,182447.0,49.0,42445.0,310618.0
CT,Chhattisgarh,Janjgir Champa,1710345,112845,194,1112431,597914,843058,867092,195,170853,1539492,CT,Chhattisgarh,Janjgir Champa,1721904.0,146384.0,209.0,1118213.0,603478.0,848811.0,872683.0,197.0,175894.0,1546010.0
CT,Chhattisgarh,Jashpur,987689,90490,106,607076,380613,480954,506610,125,106383,881306,CT,Chhattisgarh,Jashpur,992227.0,221286.0,274.0,610158.0,381818.0,482817.0,509033.0,126.0,109551.0,882676.0
CT,Chhattisgarh,Uttar Bastar Kanker,938590,172000,60,543593,394997,465820,472660,110,122830,815760,CT,Chhattisgarh,Uttar Bastar Kanker,941821.0,282600.0,186.0,544302.0,396832.0,467125.0,473899.0,110.0,123457.0,818364.0
CT,Chhattisgarh,Kabeerdham,941931,14932,20,569149,372782,467720,474039,172,125890,816041,CT,Chhattisgarh,Kabeerdham,945560.0,67615.0,48.0,572049.0,373141.0,469365.0,475652.0,173.0,128687.0,816873.0
CT,Chhattisgarh,Kondagaon,675585,1198513,486,411001,264584,328850,346640,95,59295,616290,CT,Chhattisgarh,Kondagaon,679478.0,110680.0,19.0,411758.0,267620.0,330632.0,348651.0,95.0,59561.0,619917.0
CT,Chhattisgarh,Korba,1338716,11279,54,856423,482293,668390,670147,179,93789,1244927,CT,Chhattisgarh,Korba,1342551.0,56128.0,140.0,858311.0,483984.0,670254.0,671861.0,180.0,95248.0,1247303.0
CT,Chhattisgarh,Koriya,762077,24973,34,431103,330974,380417,381576,84,86235,675842,CT,Chhattisgarh,Koriya,766930.0,245671.0,127.0,433014.0,333671.0,382625.0,383975.0,85.0,87761.0,679169.0
CT,Chhattisgarh,Mahasamund,1610554,48866,103,820202,790352,782496,827862,196,112519,1498035,CT,Chhattisgarh,Mahasamund,1617034.0,161382.0,303.0,822368.0,792724.0,784837.0,830059.0,196.0,114253.0,1502781.0
CT,Chhattisgarh,Mungeli,676197,31463,66,474143,202054,330833,345311,53,62375,613822,CT,Chhattisgarh,Mungeli,679089.0,46247.0,93.0,474623.0,203101.0,331556.0,346115.0,53.0,62546.0,616543.0
CT,Chhattisgarh,Narayanpur,99033,7920,9,66211,32822,52199,46830,4,11341,87692,CT,Chhattisgarh,Narayanpur,99769.0,15940.0,24.0,66749.0,32972.0,52557.0,47160.0,4.0,11703.0,88066.0
CT,Chhattisgarh,Raigarh,2246451,134761,69,1131867,1114584,1137225,1108925,301,320275,1926176,CT,Chhattisgarh,Raigarh,2253827.0,250173.0,70.0,1135783.0,1115998.0,1139979.0,1111499.0,301.0,324052.0,1929775.0
CT,Chhattisgarh,Raipur,3238666,43053,224,1819348,1419318,1673821,1564420,425,773844,2457745,CT,Chhattisgarh,Raipur,3256284.0,73960.0,346.0,1828909.0,1424365.0,1681487.0,1571360.0,427.0,781966.0,2467241.0
CT,Chhattisgarh,Rajnandgaon,2053826,23460,30,1220528,833298,989216,1064338,272,475838,1577988,CT,Chhattisgarh,Rajnandgaon,2061834.0,146949.0,249.0,1223472.0,836653.0,992626.0,1067227.0,272.0,479078.0,1582756.0
CT,Chhattisgarh,Sukma,265287,3420,16,150393,114894,141924,123329,34,11084,254203,CT,Chhattisgarh,Sukma,266355.0,7398.0,31.0,151157.0,115002.0,142351.0,123774.0,34.0,11647.0,254708.0
CT,Chhattisgarh,Surajpur,952443,1040,1,559905,392538,477962,474334,147,118751,833692,CT,Chhattisgarh,Surajpur,955392.0,315958.0,169.0,560948.0,394212.0,479251.0,475762.0,147.0,119860.0,835532.0
CT,Chhattisgarh,Surguja,1133038,52800,55,720654,412384,565745,567143,150,98238,1034800,CT,Chhattisgarh,Surguja,1136338.0,108565.0,147.0,722193.0,413723.0,567127.0,568638.0,151.0,99379.0,1036959.0
DN,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,727649,47100,102,429921,297728,503229,224318,102,17766,709883,DN,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,731317.0,48700.0,108.0,431331.0,299711.0,505622.0,225317.0,102.0,18251.0,713066.0
DN,Dadra and Nagar Haveli and Daman and Diu,Daman,468718,0,0,260718,208000,312175,156403,140,7785,460933,DN,Dadra and Nagar Haveli and Daman and Diu,Daman,470588.0,8631.0,29.0,261649.0,208600.0,313229.0,156877.0,143.0,8289.0,462299.0
DN,Dadra and Nagar Haveli and Daman and Diu,Diu,79485,80,2,42662,36823,40350,39115,20,3361,76124,DN,Dadra and Nagar Haveli and Daman and Diu,Diu,79776.0,810.0,5.0,42709.0,36885.0,40416.0,39158.0,20.0,3361.0,76415.0
DL,Delhi,Central Delhi,2422985,4035,19,1446062,976923,1504236,918124,625,480132,1942853,DL,Delhi,Central Delhi,2440036.0,44771.0,170.0,1456406.0,982080.0,1513630.0,924221.0,634.0,487523.0,1952513.0
DL,Delhi,East Delhi,2176096,11481,61,1212870,963226,1233564,941807,725,335007,1825701,DL,Delhi,East Delhi,2191846.0,29962.0,129.0,1222545.0,968229.0,1241768.0,948278.0,728.0,342994.0,1833456.0
DL,Delhi,New Delhi,1922899,17300,70,1038814,884085,1145295,777120,484,646362,1276537,DL,Delhi,New Delhi,1937999.0,65455.0,128.0,1047143.0,888199.0,1152672.0,782177.0,493.0,654613.0,1283386.0
DL,Delhi,North Delhi,2563803,634,6,1500375,1063428,1521951,1041004,848,440157,2123646,DL,Delhi,North Delhi,2583958.0,59899.0,139.0,1509653.0,1073084.0,1534038.0,1047845.0,854.0,445339.0,2138619.0
DL,Delhi,North East Delhi,2049533,41661,108,1296076,753457,1136820,911950,763,345166,1704367,DL,Delhi,North East Delhi,2066090.0,57501.0,125.0,1306148.0,758275.0,1144731.0,918911.0,781.0,354327.0,1711763.0
DL,Delhi,North West Delhi,3212677,3981,13,1890223,1322454,1782331,1429249,1097,833634,2379043,DL,Delhi,North West Delhi,3235740.0,89880.0,206.0,1903741.0,1330250.0,1794543.0,1438332.0,1115.0,845508.0,2390232.0
DL,Delhi,Shahdara,1921456,1820,6,1125843,795613,1087027,833736,693,282433,1639023,DL,Delhi,Shahdara,1934882.0,40861.0,124.0,1134390.0,799469.0,1093205.0,839946.0,707.0,289378.0,1645504.0
DL,Delhi,South Delhi,2416092,3494,20,1398419,1017673,1405035,1010418,639,427491,1974924,DL,Delhi,South Delhi,2430556.0,31056.0,114.0,1405940.0,1022480.0,1412179.0,1015593.0,646.0,433911.0,1982968.0
DL,Delhi,South East Delhi,2654262,20465,49,1518629,1135633,1556826,1096538,898,731257,1878377,DL,Delhi,South East Delhi,2672283.0,62148.0,121.0,1529361.0,1141023.0,1565620.0,1103856.0,908.0,740706.0,1886881.0
DL,Delhi,South West Delhi,3217592,10752,36,1793380,1424212,1757946,1458561,1085,514955,2700258,DL,Delhi,South West Delhi,3241934.0,55999.0,180.0,1807496.0,1432645.0,1770203.0,1468832.0,1106.0,525910.0,2713645.0
DL,Delhi,West Delhi,2969049,2442,13,1682327,1286722,1684434,1283727,888,755667,2198248,DL,Delhi,West Delhi,2988946.0,59579.0,139.0,1693274.0,1293581.0,1694878.0,1291077.0,900.0,763662.0,2210096.0
GA,Goa,North Goa,1172686,7224,10,645063,527623,664045,508524,117,52802,1119884,GA,Goa,North Goa,1176030.0,31083.0,23.0,645789.0,529339.0,665745.0,509266.0,117.0,52988.0,1123042.0
GA,Goa,South Goa,1310676,17842,17,714555,596121,714905,595630,141,30666,1280010,GA,Goa,South Goa,1315125.0,37720.0,40.0,716229.0,597796.0,717008.0,596873.0,142.0,31564.0,1283561.0
GJ,Gujarat,Ahmedabad,2737493,13795,62,1391326,1346167,1537732,1199350,411,346685,2390808,GJ,Gujarat,Ahmedabad,2747872.0,47999.0,153.0,1394121.0,1350050.0,1541582.0,1202178.0,411.0,349340.0,2398532.0
GJ,Gujarat,Ahmedabad,8851944,155673,210,5130040,3721904,4995836,3854556,1552,836676,7999759,GJ,Gujarat,Ahmedabad,8901396.0,211608.0,270.0,5147371.0,3741002.0,5016090.0,3870723.0,1559.0,849389.0,8036488.0
GJ,Gujarat,Amreli,2006042,55939,125,1037351,968691,1032341,973423,278,433626,1572416,GJ,Gujarat,Amreli,2015302.0,136065.0,156.0,1039714.0,970097.0,1034358.0,975172.0,278.0,436865.0,1578437.0
GJ,Gujarat,Anand,3105622,21427,131,1617985,1487637,1611202,1493923,497,447996,2657626,GJ,Gujarat,Anand,3117373.0,44557.0,192.0,1621209.0,1489369.0,1613684.0,1496395.0,498.0,450885.0,2666488.0
GJ,Gujarat,Aravalli,1503544,1334,5,774146,729398,769240,734039,265,408556,1094988,GJ,Gujarat,Aravalli,1510209.0,31057.0,143.0,775032.0,729705.0,769859.0,734613.0,265.0,411112.0,1099097.0
GJ,Gujarat,Banaskantha,4518752,15014,108,2326836,2191916,2437446,2080501,805,350651,4168101,GJ,Gujarat,Banaskantha,4534432.0,56601.0,354.0,2335752.0,2196986.0,2444913.0,2087018.0,805.0,356325.0,4178107.0
GJ,Gujarat,Bharuch,2577000,25328,93,1370530,1206470,1494384,1082099,517,300519,2276481,GJ,Gujarat,Bharuch,2588149.0,91254.0,214.0,1373658.0,1209638.0,1498322.0,1084456.0,517.0,303458.0,2284691.0
GJ,Gujarat,Bhavnagar,2811716,9974,17,1398619,1413097,1516744,1294553,419,347106,2464610,GJ,Gujarat,Bhavnagar,2822376.0,172761.0,153.0,1402722.0,1417632.0,1521279.0,1298653.0,422.0,350131.0,2472245.0
GJ,Gujarat,Bhavnagar,946938,57518,51,508154,438784,499632,447182,124,141998,804940,GJ,Gujarat,Bhavnagar,952885.0,144389.0,55.0,509959.0,440395.0,501662.0,448567.0,125.0,143418.0,809467.0
GJ,Gujarat,Botad,800370,4625,7,421533,378837,413955,386316,99,122366,678004,GJ,Gujarat,Botad,802968.0,43284.0,82.0,422327.0,379249.0,414577.0,386900.0,99.0,123215.0,679753.0
GJ,Gujarat,Chhota Udaipur,1325261,141,2,685337,639924,699773,625267,221,239661,1085600,GJ,Gujarat,Chhota Udaipur,1327201.0,7740.0,54.0,686425.0,640358.0,700586.0,625975.0,222.0,240646.0,1086555.0
GJ,Gujarat,Dahod,3100154,7342,57,1583293,1516861,1607039,1492708,407,190114,2910040,GJ,Gujarat,Dahod,3114351.0,23684.0,94.0,1586059.0,1517438.0,1608753.0,1494336.0,408.0,192411.0,2921940.0
GJ,Gujarat,Dang,295322,0,0,176233,119089,159551,135759,12,10805,284517,GJ,Gujarat,Dang,296761.0,13000.0,31.0,176994.0,119600.0,160251.0,136331.0,12.0,11387.0,285374.0
GJ,Gujarat,Devbhumi Dwarka,1112052,3836,23,605420,506632,596421,515436,195,217400,894652,GJ,Gujarat,Devbhumi Dwarka,1115868.0,18066.0,83.0,606866.0,507001.0,597394.0,516276.0,197.0,219030.0,896838.0
GJ,Gujarat,Gandhinagar,1729117,40894,52,897441,831676,932446,796405,266,171079,1558038,GJ,Gujarat,Gandhinagar,1736172.0,184850.0,109.0,898851.0,833029.0,934014.0,797597.0,269.0,172061.0,1564111.0
GJ,Gujarat,Gandhinagar,695086,5110,12,403845,291241,385342,309604,140,77911,617175,GJ,Gujarat,Gandhinagar,699004.0,10143.0,24.0,405371.0,292154.0,386716.0,310669.0,140.0,78800.0,620204.0
GJ,Gujarat,Gir Somnath,1816179,16320,17,956696,859483,942847,872832,500,312344,1503835,GJ,Gujarat,Gir Somnath,1822315.0,75617.0,97.0,959573.0,861426.0,945607.0,874890.0,501.0,314065.0,1508250.0
GJ,Gujarat,Jamnagar,1356623,12580,52,704984,651639,746083,610378,162,102679,1253944,GJ,Gujarat,Jamnagar,1363016.0,30374.0,109.0,707713.0,653709.0,748771.0,612489.0,162.0,104375.0,1258641.0
GJ,Gujarat,Jamnagar,933010,11080,29,533952,399058,489975,442885,150,149209,783801,GJ,Gujarat,Jamnagar,938056.0,20855.0,46.0,535744.0,400530.0,491706.0,444417.0,150.0,151021.0,787035.0
GJ,Gujarat,Junagadh,2278048,2838,13,1128980,1149068,1213345,1064285,418,130740,2147308,GJ,Gujarat,Junagadh,2284174.0,22004.0,92.0,1130747.0,1150947.0,1215359.0,1065916.0,418.0,132120.0,2152054.0
GJ,Gujarat,Junagadh,558246,18900,13,284714,273532,300130,258032,84,78163,480083,GJ,Gujarat,Junagadh,560461.0,26000.0,13.0,285466.0,274002.0,300758.0,258626.0,84.0,78468.0,481993.0
GJ,Gujarat,Kheda,3080851,23856,78,1606955,1473896,1626133,1454236,482,649103,2431748,GJ,Gujarat,Kheda,3093201.0,67314.0,154.0,1609890.0,1476639.0,1629109.0,1456936.0,483.0,652609.0,2440592.0
GJ,Gujarat,Kutch,3026564,13987,90,1593788,1432776,1715244,1310782,538,332358,2694206,GJ,Gujarat,Kutch,3037975.0,156089.0,507.0,1597822.0,1435884.0,1719299.0,1313867.0,540.0,334748.0,2703227.0
GJ,Gujarat,Mahisagar,1723961,10401,63,869199,854762,903302,820410,249,177824,1546137,GJ,Gujarat,Mahisagar,1728647.0,9044.0,57.0,870209.0,854844.0,903881.0,820923.0,249.0,178843.0,1549804.0
GJ,Gujarat,Mehsana,2883858,4650,35,1543409,1340449,1506268,1377142,448,465147,2418711,GJ,Gujarat,Mehsana,2900282.0,58064.0,230.0,1549851.0,1343759.0,1511614.0,1381546.0,450.0,471391.0,2428891.0
GJ,Gujarat,Morbi,1406773,1946,10,789701,617072,797335,609202,236,144539,1262234,GJ,Gujarat,Morbi,1413544.0,28238.0,136.0,792163.0,619669.0,800403.0,611192.0,237.0,145822.0,1267722.0
GJ,Gujarat,Narmada,857601,35358,29,440822,416779,447345,410127,129,138540,719061,GJ,Gujarat,Narmada,860019.0,43957.0,33.0,441591.0,417081.0,447935.0,410608.0,129.0,139357.0,720662.0
GJ,Gujarat,Navsari,1990161,2725,29,1022981,967180,1007386,982488,287,450635,1539526,GJ,Gujarat,Navsari,1997572.0,19663.0,124.0,1024938.0,967967.0,1008924.0,983691.0,289.0,452393.0,1545179.0
GJ,Gujarat,Panchmahal,2299251,8703,52,1175136,1124115,1251224,1047636,391,292233,2007018,GJ,Gujarat,Panchmahal,2306668.0,42189.0,95.0,1178022.0,1125619.0,1253780.0,1049470.0,391.0,294798.0,2011870.0
GJ,Gujarat,Patan,1790260,4509,28,936347,853913,922700,867339,221,348863,1441397,GJ,Gujarat,Patan,1797257.0,96732.0,399.0,938069.0,855195.0,924171.0,868872.0,221.0,350726.0,1446531.0
GJ,Gujarat,Porbandar,854104,6000,47,457988,396116,437039,416923,142,169040,685064,GJ,Gujarat,Porbandar,858784.0,15062.0,85.0,459100.0,396727.0,437903.0,417781.0,142.0,170027.0,688757.0
GJ,Gujarat,Rajkot,2319411,1627,14,1259460,1059951,1260731,1058299,381,133649,2185762,GJ,Gujarat,Rajkot,2331157.0,91078.0,412.0,1263682.0,1063598.0,1265183.0,1061713.0,383.0,135349.0,2195808.0
GJ,Gujarat,Rajkot,2299225,40,1,1325506,973719,1280331,1018494,400,189498,2109727,GJ,Gujarat,Rajkot,2312488.0,41179.0,88.0,1330594.0,977096.0,1284951.0,1022334.0,403.0,190941.0,2121547.0
GJ,Gujarat,Sabarkantha,2104422,6877,63,1098553,1005869,1089437,1014639,346,153308,1951114,GJ,Gujarat,Sabarkantha,2115689.0,50805.0,251.0,1100957.0,1006845.0,1091206.0,1016239.0,347.0,155407.0,1960282.0
GJ,Gujarat,Surat,2376865,5701,29,1316529,1060336,1361515,1014988,362,236580,2140285,GJ,Gujarat,Surat,2385247.0,37343.0,151.0,1319300.0,1063798.0,1365193.0,1017541.0,364.0,238436.0,2146811.0
GJ,Gujarat,Surat,7392028,221320,112,4147646,3244382,4494262,2895639,2127,588304,6787596,GJ,Gujarat,Surat,7426633.0,571841.0,229.0,4168928.0,3253254.0,4511833.0,2908193.0,2156.0,605249.0,6805239.0
GJ,Gujarat,Surendranagar,2519541,20555,16,1281408,1238133,1341265,1177872,404,333126,2186415,GJ,Gujarat,Surendranagar,2529908.0,153257.0,67.0,1283902.0,1243801.0,1345594.0,1181703.0,405.0,336374.0,2193534.0
GJ,Gujarat,Tapi,1091557,25650,85,577383,514174,568271,523148,138,105311,986246,GJ,Gujarat,Tapi,1096349.0,26388.0,85.0,578616.0,516286.0,569948.0,524815.0,139.0,106110.0,990239.0
GJ,Gujarat,Vadodara,2351460,1561,11,1205232,1146228,1260138,1090920,402,263283,2088177,GJ,Gujarat,Vadodara,2360982.0,31102.0,157.0,1207031.0,1147516.0,1261856.0,1092289.0,402.0,265506.0,2095476.0
GJ,Gujarat,Vadodara,3016463,11514,48,1632563,1383900,1621895,1393838,730,318491,2697972,GJ,Gujarat,Vadodara,3029046.0,36754.0,87.0,1635038.0,1385650.0,1624113.0,1395843.0,730.0,319802.0,2709244.0
GJ,Gujarat,Valsad,2680332,8982,67,1360546,1319786,1549339,1130308,685,419799,2260533,GJ,Gujarat,Valsad,2690300.0,40495.0,227.0,1363964.0,1322521.0,1553072.0,1132724.0,688.0,422705.0,2267595.0
HR,Haryana,Ambala,1875662,8210,12,983408,892254,1004086,871198,378,338289,1537373,HR,Haryana,Ambala,1882993.0,58390.0,59.0,987523.0,894886.0,1007931.0,874100.0,378.0,341812.0,1541181.0
HR,Haryana,Bhiwani,1553385,92377,132,854149,699236,797920,755153,312,245736,1307649,HR,Haryana,Bhiwani,1562501.0,129591.0,161.0,860166.0,702026.0,802859.0,759018.0,315.0,251236.0,1311265.0
HR,Haryana,Charkhi Dadri,757224,50500,34,410267,346957,392761,364331,132,159229,597995,HR,Haryana,Charkhi Dadri,760705.0,57000.0,34.0,411928.0,348250.0,394476.0,365570.0,132.0,161052.0,599653.0
HR,Haryana,Faridabad,3331108,253455,81,1925484,1405624,1934365,1395889,853,418852,2875667,HR,Haryana,Faridabad,3359094.0,261907.0,90.0,1944360.0,1413813.0,1950199.0,1407103.0,870.0,432737.0,2889745.0
HR,Haryana,Fatehabad,1084889,41712,66,664416,420473,560048,524687,154,136308,948581,HR,Haryana,Fatehabad,1092258.0,75819.0,117.0,668251.0,423950.0,564101.0,527945.0,155.0,139093.0,953165.0
HR,Haryana,Gurugram,4510705,66525,135,2505844,2004861,2785368,1723916,1421,471884,3995102,HR,Haryana,Gurugram,4539421.0,93102.0,179.0,2519649.0,2016647.0,2800930.0,1733926.0,1440.0,480085.0,4015575.0
HR,Haryana,Hisar,2055389,834000,234,1238740,816649,1058759,996328,302,241403,1813986,HR,Haryana,Hisar,2069731.0,862225.0,257.0,1245371.0,822798.0,1065861.0,1002004.0,304.0,246007.0,1823724.0
HR,Haryana,Jhajjar,1361449,36170,47,797876,563573,759207,602008,234,191151,1170298,HR,Haryana,Jhajjar,1373072.0,96391.0,95.0,803472.0,569502.0,766215.0,606522.0,237.0,195480.0,1177592.0
HR,Haryana,Jind,1453851,18600,51,886246,567605,738845,714795,211,210132,1243719,HR,Haryana,Jind,1463656.0,88703.0,189.0,891944.0,571424.0,744115.0,719041.0,212.0,214443.0,1249213.0
HR,Haryana,Kaithal,1450938,28710,79,849524,601414,740658,710111,169,286793,1164145,HR,Haryana,Kaithal,1459444.0,71417.0,181.0,855528.0,603609.0,745294.0,713672.0,171.0,291576.0,1167868.0
HR,Haryana,Karnal,2060651,126274,46,1201338,859313,1076146,984145,360,482400,1578251,HR,Haryana,Karnal,2075938.0,317575.0,131.0,1209049.0,866026.0,1084338.0,990374.0,363.0,487570.0,1588368.0
HR,Haryana,Kurukshetra,1235904,36680,42,724867,511037,632461,603267,176,133874,1101579,HR,Haryana,Kurukshetra,1245983.0,68881.0,74.0,730785.0,514876.0,637965.0,607520.0,176.0,138646.0,1106885.0
HR,Haryana,Mahendragarh,1182007,54082,78,682962,499045,601863,579838,306,143659,1038348,HR,Haryana,Mahendragarh,1187975.0,53393.0,78.0,685993.0,501646.0,604865.0,582466.0,308.0,145725.0,1042250.0
HR,Haryana,Nuh,941592,300846,112,692571,249021,538999,402436,157,338333,603259,HR,Haryana,Nuh,951549.0,551264.0,172.0,697357.0,254105.0,545021.0,406283.0,158.0,345513.0,606036.0
HR,Haryana,Palwal,1254982,131300,65,763659,491323,677216,577524,242,275123,979859,HR,Haryana,Palwal,1266984.0,137200.0,64.0,769872.0,496999.0,684285.0,582342.0,244.0,280821.0,986163.0
HR,Haryana,Panchkula,956257,10772,28,522557,433700,512116,443945,196,139986,816271,HR,Haryana,Panchkula,962934.0,24982.0,45.0,525650.0,436681.0,515608.0,446526.0,197.0,142419.0,820515.0
HR,Haryana,Panipat,1722635,61486,77,1054023,668612,982985,738893,757,289401,1433234,HR,Haryana,Panipat,1737923.0,129228.0,114.0,1061191.0,676286.0,991709.0,745000.0,768.0,293715.0,1444208.0
HR,Haryana,Rewari,1368933,16470,15,769812,599121,750947,617551,435,137252,1231681,HR,Haryana,Rewari,1377321.0,47220.0,42.0,774570.0,602154.0,755727.0,620558.0,439.0,141332.0,1235989.0
HR,Haryana,Rohtak,1400015,13252,17,835338,564677,756870,642911,234,227878,1172137,HR,Haryana,Rohtak,1412170.0,96179.0,130.0,841816.0,569882.0,763690.0,647769.0,239.0,231874.0,1180296.0
HR,Haryana,Sirsa,1722842,26120,46,1014042,708800,901452,821072,318,223720,1499122,HR,Haryana,Sirsa,1733626.0,119130.0,192.0,1020020.0,713427.0,907098.0,826028.0,321.0,228369.0,1505257.0
HR,Haryana,Sonipat,1977259,37480,37,1180684,796575,1109603,867330,326,377608,1599651,HR,Haryana,Sonipat,1993466.0,90108.0,98.0,1189693.0,803279.0,1118857.0,873789.0,326.0,384146.0,1609320.0
HR,Haryana,Yamunanagar,1563712,23000,32,927373,636339,840967,722514,231,195386,1368326,HR,Haryana,Yamunanagar,1581345.0,100110.0,137.0,933787.0,646727.0,850575.0,729707.0,232.0,200020.0,1381325.0
HP,Himachal Pradesh,Bilaspur,668785,0,0,346606,322179,329219,339433,133,18579,650206,HP,Himachal Pradesh,Bilaspur,671247.0,4449.0,48.0,348519.0,322292.0,330266.0,340411.0,134.0,20373.0,650874.0
