,,,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,,,,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022
State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered)
AR,Arunachal Pradesh,Kra Daadi,10743,0,0,6510,4233,5707,5036,0,9,10734,AR,Arunachal Pradesh,Kra Daadi,10743.0,400.0,1.0,6510.0,4233.0,5707.0,5036.0,0.0,9.0,10734.0
AR,Arunachal Pradesh,Kurung Kumey,17382,0,0,10347,7035,8556,8720,106,82,17300,AR,Arunachal Pradesh,Kurung Kumey,17435.0,860.0,3.0,10381.0,7054.0,8586.0,8743.0,106.0,104.0,17331.0
AR,Arunachal Pradesh,Lepa Rada,25181,300,1,13887,11294,14395,10782,4,320,24861,AR,Arunachal Pradesh,Lepa Rada,25352.0,1000.0,3.0,13963.0,11302.0,14444.0,10817.0,4.0,390.0,24962.0
AR,Arunachal Pradesh,Lohit,61694,0,0,33852,27842,33619,28060,15,625,61069,AR,Arunachal Pradesh,Lohit,62171.0,2350.0,9.0,34185.0,27951.0,33831.0,28289.0,16.0,855.0,61316.0
AR,Arunachal Pradesh,Longding,31580,0,0,20649,10931,19086,12494,0,257,31323,AR,Arunachal Pradesh,Longding,31947.0,1704.0,4.0,20913.0,10980.0,19245.0,12648.0,0.0,391.0,31556.0
AR,Arunachal Pradesh,Lower Dibang Valley,60607,350,3,34503,26104,33176,27425,6,655,59952,AR,Arunachal Pradesh,Lower Dibang Valley,61093.0,4860.0,7.0,34855.0,26225.0,33422.0,27652.0,6.0,947.0,60146.0
AR,Arunachal Pradesh,Lower Siang,28370,0,0,17076,11294,15261,13108,1,205,28165,AR,Arunachal Pradesh,Lower Siang,28621.0,720.0,3.0,17263.0,11317.0,15349.0,13230.0,1.0,378.0,28243.0
AR,Arunachal Pradesh,Lower Subansiri,51936,0,0,28644,23292,28791,23142,3,342,51594,AR,Arunachal Pradesh,Lower Subansiri,52317.0,1980.0,11.0,28865.0,23380.0,28963.0,23279.0,3.0,508.0,51809.0
AR,Arunachal Pradesh,Namsai,128684,50,2,69152,59532,68808,59872,4,2136,126548,AR,Arunachal Pradesh,Namsai,129774.0,1970.0,28.0,69975.0,59725.0,69290.0,60406.0,4.0,2847.0,126927.0
AR,Arunachal Pradesh,Pakke Kessang,15364,0,0,8572,6792,8041,7315,8,92,15272,AR,Arunachal Pradesh,Pakke Kessang,15502.0,1134.0,2.0,8682.0,6795.0,8099.0,7370.0,8.0,201.0,15301.0
AR,Arunachal Pradesh,Papum Pare,63464,0,0,34605,28859,37192,26262,10,313,63151,AR,Arunachal Pradesh,Papum Pare,63902.0,2600.0,8.0,34931.0,28916.0,37384.0,26453.0,10.0,614.0,63288.0
AR,Arunachal Pradesh,Shi Yomi,13302,0,0,7160,6142,6897,6405,0,159,13143,AR,Arunachal Pradesh,Shi Yomi,13357.0,800.0,3.0,7180.0,6146.0,6911.0,6415.0,0.0,178.0,13179.0
AR,Arunachal Pradesh,Siang,26352,0,0,15494,10858,13921,12423,8,677,25675,AR,Arunachal Pradesh,Siang,26361.0,263.0,3.0,15500.0,10861.0,13927.0,12426.0,8.0,677.0,25684.0
AR,Arunachal Pradesh,Tawang,57204,0,0,30890,26314,31349,25836,19,784,56420,AR,Arunachal Pradesh,Tawang,57723.0,1081.0,7.0,31136.0,26380.0,31486.0,26011.0,19.0,991.0,56732.0
