State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
Assam,Lakhimpur,587210,361,666302,Assam,Lakhimpur,587560.0,375.0,666574.0
Assam,Sonitpur,703195,2222,748131,Assam,Sonitpur,703658.0,2344.0,748480.0
Assam,Udalguri,348443,916,456203,Assam,Udalguri,348758.0,922.0,456386.0
Assam,Cachar,855984,1870,1024369,Assam,Cachar,857137.0,1884.0,1024975.0
Assam,Dima Hasao,95099,446,129205,Assam,Dima Hasao,95281.0,579.0,129315.0
Assam,Hailakandi,331707,676,403729,Assam,Hailakandi,332096.0,699.0,403947.0
Assam,Karimganj,557436,788,630520,Assam,Karimganj,558323.0,828.0,631002.0
Assam,Hojai,553875,530,590103,Assam,Hojai,554073.0,542.0,590239.0
Assam,Biswanath,359547,873,419952,Assam,Biswanath,359784.0,890.0,420118.0
Assam,Charaideo,231205,357,283706,Assam,Charaideo,231205.0,357.0,283706.0
Assam,Majuli,116323,223,128040,Assam,Majuli,116403.0,226.0,128110.0
Assam,South Salmara Mankachar,201041,84,236019,Assam,South Salmara Mankachar,201894.0,91.0,236619.0
Assam,West Karbi Anglong,75517,57,129552,Assam,West Karbi Anglong,75611.0,61.0,129675.0
Bihar,Madhepura,798100,3865,914391,Bihar,Madhepura,799516.0,3933.0,916020.0
Bihar,Saharsa,803783,3550,970178,Bihar,Saharsa,809004.0,3983.0,974221.0
Bihar,Supaul,911183,5295,1060679,Bihar,Supaul,913367.0,5341.0,1063061.0
Bihar,Purnia,1412266,8325,1845010,Bihar,Purnia,1422319.0,8402.0,1853341.0
Bihar,Araria,967412,4652,1273608,Bihar,Araria,967773.0,4690.0,1274099.0
Bihar,Katihar,1270506,2993,1532058,Bihar,Katihar,1279249.0,3155.0,1538360.0
Bihar,Kishanganj,630104,4495,764583,Bihar,Kishanganj,631895.0,4541.0,766427.0
Bihar,Aurangabad,1057446,2613,1357141,Bihar,Aurangabad,1057867.0,2660.0,1357624.0
Bihar,Arwal,293316,1114,339444,Bihar,Arwal,294289.0,1216.0,340148.0
Bihar,Gaya,1669690,14384,2211104,Bihar,Gaya,1676570.0,14977.0,2216556.0
Bihar,Kaimur,748534,2132,854875,Bihar,Kaimur,749222.0,2147.0,855790.0
Bihar,Rohtas,1285739,5513,1537999,Bihar,Rohtas,1291158.0,5949.0,1541585.0
Bihar,Bhagalpur,1281393,6445,1559050,Bihar,Bhagalpur,1287978.0,6653.0,1565334.0
Bihar,Banka,862621,5463,1008235,Bihar,Banka,864089.0,5568.0,1010238.0
Bihar,Lakhisarai,418505,2054,478790,Bihar,Lakhisarai,419632.0,2252.0,480659.0
Bihar,Munger,689876,2703,809951,Bihar,Munger,690746.0,2924.0,811485.0
Bihar,Muzaffarpur,1930497,7891,2245474,Bihar,Muzaffarpur,1940799.0,8077.0,2253457.0
Bihar,Sheohar,287476,1315,307761,Bihar,Sheohar,287500.0,1318.0,307775.0
Bihar,Sitamarhi,1312649,5650,1429232,Bihar,Sitamarhi,1316316.0,5897.0,1432640.0
Bihar,Vaishali,1498863,6879,1714923,Bihar,Vaishali,1501337.0,7010.0,1717424.0
Bihar,Nalanda,1285916,5386,1593377,Bihar,Nalanda,1287541.0,5751.0,1595767.0
Bihar,Jehanabad,418693,1919,513033,Bihar,Jehanabad,419285.0,1980.0,513901.0
