18/01/2022,Assam,Kamrup Rural,2224580,57968,177,1249186,971980,3414,1105221,1115656,289,271097,1951091
18/01/2022,Assam,Karbi-Anglong,708031,68867,67,421683,284753,1595,354431,351916,88,287219,420812
18/01/2022,Assam,Nalbari,963329,24207,64,545618,416379,1332,468912,492966,119,57092,906237
18/01/2022,Assam,Golaghat,1416665,60739,97,812557,602084,2024,700356,714043,242,134743,1281922
18/01/2022,Assam,Jorhat,1334282,43763,107,742830,588063,3389,655985,674709,198,101016,1233266
18/01/2022,Assam,Morigaon,1157178,262376,117,689180,466586,1412,550562,605080,124,79502,1077676
18/01/2022,Assam,Nagaon,2342613,225878,118,1333123,1005492,3998,1103544,1234736,334,127188,2215425
18/01/2022,Assam,Bongaigaon,992068,60999,90,552266,438065,1737,487960,502207,163,66191,925877
18/01/2022,Assam,Chirang,553767,14490,74,327549,224810,1408,278521,273773,65,38445,515322
18/01/2022,Assam,Dhubri,1911014,112219,172,1083044,824831,3139,947454,960198,222,61349,1849665
18/01/2022,Assam,Goalpara,1306938,108470,156,749384,556642,912,638261,667564,201,60110,1246828
18/01/2022,Assam,Kokrajhar,1000735,58182,91,597629,400715,2391,495999,502236,109,60886,939849
18/01/2022,Assam,Dhemaji,843770,29538,81,492412,350846,512,407383,435739,136,84849,758921
18/01/2022,Assam,Lakhimpur,1377080,115821,110,780812,595339,929,672030,703929,191,152019,1225061
18/01/2022,Assam,Sonitpur,1576215,48972,148,860548,711322,4345,754024,817593,253,546842,1029373
18/01/2022,Assam,Udalguri,955012,51726,114,591817,361086,2109,463664,489136,103,42748,912264
18/01/2022,Assam,Cachar,2094639,107455,103,1222348,869566,2725,1033218,1058406,289,198840,1895799
18/01/2022,Assam,Dima Hasao,241259,15494,34,143906,96501,852,130239,110105,63,52931,188328
18/01/2022,Assam,Hailakandi,804620,26800,56,467619,335889,1112,406392,396946,170,53010,751610
18/01/2022,Assam,Karimganj,1332347,320270,125,760613,570231,1503,637359,693321,164,71117,1261230
18/01/2022,Assam,Hojai,1241486,87796,96,679578,560813,1095,594371,645833,187,222237,1019249
18/01/2022,Assam,Biswanath,877588,38330,89,511830,364537,1221,424155,452097,115,48504,829084
18/01/2022,Assam,Charaideo,588074,44025,61,350466,236980,628,287325,300056,64,29588,558486
18/01/2022,Assam,Majuli,255098,7786,38,137599,117175,324,128620,126128,26,25850,229248
18/01/2022,Assam,South Salmara Mankachar,475809,33390,34,271066,204599,144,238614,236997,54,59417,416392
18/01/2022,Assam,West Karbi Anglong,255920,156200,56,179040,76788,92,131011,124784,33,23701,232219
18/01/2022,Bihar,Madhepura,1953811,146420,310,1145541,804029,4241,921529,1027648,393,59021,1894790
18/01/2022,Bihar,Saharsa,2033174,85882,191,1211494,817048,4632,981237,1046953,352,59991,1973183
18/01/2022,Bihar,Supaul,2261823,118475,85,1333265,922875,5683,1071628,1183989,523,154441,2107382
18/01/2022,Bihar,Purnia,3548505,207340,246,2085412,1453396,9697,1878265,1659564,975,651289,2897014
18/01/2022,Bihar,Araria,2554297,312000,342,1570139,979117,5041,1289976,1258379,901,83404,2470893
18/01/2022,Bihar,Katihar,3126328,124957,269,1817684,1300235,8409,1553822,1563430,666,71311,3055017
18/01/2022,Bihar,Kishanganj,1551777,164480,228,909884,636901,4992,771522,774998,265,40694,1511083
18/01/2022,Bihar,Aurangabad,2664358,157699,188,1598412,1061188,4758,1364681,1294051,868,109958,2554400
18/01/2022,Bihar,Arwal,713060,29709,88,415146,296135,1779,343082,368054,145,28807,684253
18/01/2022,Bihar,Gaya,4499121,845600,418,2781832,1699750,17539,2237792,2242583,1204,648268,3850853
18/01/2022,Bihar,Kaimur,1702666,113250,78,946569,753307,2790,861165,838179,532,50812,1651854
18/01/2022,Bihar,Rohtas,3105534,136987,423,1795243,1302900,7391,1553508,1543788,845,172542,2932992
18/01/2022,Bihar,Bhagalpur,3116576,171280,398,1813416,1294701,8459,1574169,1533441,507,344847,2771729
18/01/2022,Bihar,Banka,2072159,59929,111,1197593,868729,5837,1017220,1048636,466,472222,1599937
18/01/2022,Bihar,Lakhisarai,1004582,210160,206,579861,422013,2708,484479,517236,159,36479,968103
18/01/2022,Bihar,Munger,1614518,152654,348,917416,693511,3591,815929,794681,315,60359,1554159
18/01/2022,Bihar,Muzaffarpur,4806207,159542,638,2840682,1955438,10087,2269933,2525193,994,331280,4474927
18/01/2022,Bihar,Sheohar,655048,27000,117,362328,291351,1369,310530,343027,122,18345,636703
18/01/2022,Bihar,Sitamarhi,3123283,188160,327,1792699,1323884,6700,1440464,1675584,533,112747,3010536
18/01/2022,Bihar,Vaishali,3582750,88588,186,2066885,1507724,8141,1725846,1847680,1083,181997,3400753
18/01/2022,Bihar,Nalanda,3183050,214940,290,1880300,1293146,9604,1608856,1563871,719,304171,2878879
18/01/2022,Bihar,Jehanabad,1072133,228499,76,647570,422057,2506,517960,551397,270,48104,1024029
18/01/2022,Bihar,Nawada,2287085,396376,426,1336159,947011,3915,1094501,1188254,415,106171,2180914
18/01/2022,Bihar,Sheikhpura,622908,26090,102,360492,260254,2162,302826,317811,109,21486,601422
18/01/2022,Bihar,Darbhanga,4158587,580775,259,2385665,1760527,12395,1933377,2211936,877,862605,3295384
18/01/2022,Bihar,Madhubani,4364801,479150,142,2525687,1827685,11429,1912923,2439404,1043,677365,3687436
18/01/2022,Bihar,Samastipur,4220674,234736,403,2495401,1714849,10424,1951660,2257699,890,215865,4004809
18/01/2022,Bihar,Patna,7194551,1545335,225,3937033,3230827,26691,3834439,3331812,1608,3842090,3340813
18/01/2022,Bihar,Begusarai,2988723,151528,156,1727158,1253045,8520,1417620,1561969,609,106185,2882538
18/01/2022,Bihar,Bhojpur,2717007,255329,469,1591323,1121157,4527,1351719,1360152,609,148592,2568415
18/01/2022,Bihar,Buxar,1938008,105510,310,1080586,851972,5450,960368,971822,368,232837,1705171
18/01/2022,Bihar,Khagaria,1594599,89450,193,921707,667544,5348,746227,842584,439,52589,1542010
18/01/2022,Bihar,Saran,4111412,439755,219,2402816,1701086,7510,1951337,2151401,1163,821813,3289599
18/01/2022,Bihar,Siwan,3920644,185566,189,2371018,1545160,4466,1910700,2004056,1421,360560,3560084
18/01/2022,Bihar,Gopalganj,2692417,110446,223,1528405,1160335,3677,1263426,1424659,655,113106,2579311
18/01/2022,Bihar,East Champaran,5511554,246000,334,2974919,2527027,9608,2695775,2804977,1194,1453245,4058309
