,,,15/01/2022,15/01/2022,15/01/2022,,,,16/01/2022,16/01/2022,16/01/2022
State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
HP,Himachal Pradesh,Mandi,749471,8247,767826,HP,Himachal Pradesh,Mandi,749471.0,8247.0,767826.0
HP,Himachal Pradesh,Shimla,657620,3861,764166,HP,Himachal Pradesh,Shimla,657620.0,3861.0,764166.0
HP,Himachal Pradesh,Sirmaur,419345,2641,486349,HP,Himachal Pradesh,Sirmaur,419346.0,2653.0,486351.0
HP,Himachal Pradesh,Solan,635852,2463,836314,HP,Himachal Pradesh,Solan,635852.0,2463.0,836314.0
HP,Himachal Pradesh,Una,436068,2012,457079,HP,Himachal Pradesh,Una,436068.0,2012.0,457079.0
JK,Jammu and Kashmir,Anantnag,776038,3520,859285,JK,Jammu and Kashmir,Anantnag,776176.0,3553.0,861019.0
JK,Jammu and Kashmir,Bandipora,314689,1009,348385,JK,Jammu and Kashmir,Bandipora,315118.0,1073.0,348890.0
JK,Jammu and Kashmir,Baramulla,777078,4427,857128,JK,Jammu and Kashmir,Baramulla,779104.0,5022.0,859778.0
JK,Jammu and Kashmir,Budgam,604223,3574,694843,JK,Jammu and Kashmir,Budgam,604239.0,3643.0,696270.0
JK,Jammu and Kashmir,Doda,312524,4420,352802,JK,Jammu and Kashmir,Doda,312585.0,4857.0,353183.0
JK,Jammu and Kashmir,Ganderbal,230040,1254,265610,JK,Jammu and Kashmir,Ganderbal,230060.0,1301.0,265727.0
JK,Jammu and Kashmir,Jammu,1169576,17140,1340273,JK,Jammu and Kashmir,Jammu,1171165.0,17799.0,1341249.0
JK,Jammu and Kashmir,Kathua,483926,2065,539271,JK,Jammu and Kashmir,Kathua,485396.0,2259.0,540299.0
JK,Jammu and Kashmir,Kishtwar,145935,1126,174338,JK,Jammu and Kashmir,Kishtwar,147488.0,1212.0,175218.0
JK,Jammu and Kashmir,Kulgam,424373,1945,462712,JK,Jammu and Kashmir,Kulgam,426154.0,1985.0,464125.0
JK,Jammu and Kashmir,Kupwara,681738,1822,765920,JK,Jammu and Kashmir,Kupwara,682374.0,1973.0,766452.0
JK,Jammu and Kashmir,Punch,380943,1300,445655,JK,Jammu and Kashmir,Punch,380994.0,1324.0,446219.0
JK,Jammu and Kashmir,Pulwama,438540,3825,493995,JK,Jammu and Kashmir,Pulwama,438667.0,3851.0,497209.0
JK,Jammu and Kashmir,Rajouri,513169,2285,578422,JK,Jammu and Kashmir,Rajouri,513331.0,2395.0,579049.0
JK,Jammu and Kashmir,Ramban,219015,1361,266720,JK,Jammu and Kashmir,Ramban,219533.0,1412.0,267184.0
JK,Jammu and Kashmir,Reasi,251345,1986,290337,JK,Jammu and Kashmir,Reasi,,,
JK,Jammu and Kashmir,Samba,260713,3625,312688,JK,Jammu and Kashmir,Samba,260842.0,3697.0,312801.0
JK,Jammu and Kashmir,Shopiyan,206362,1364,239997,JK,Jammu and Kashmir,Shopiyan,206372.0,1410.0,240005.0
JK,Jammu and Kashmir,Srinagar,957575,8667,1171065,JK,Jammu and Kashmir,Srinagar,964148.0,9299.0,1174801.0
JK,Jammu and Kashmir,Udhampur,421832,4255,446606,JK,Jammu and Kashmir,Udhampur,422364.0,4387.0,447064.0
JH,Jharkhand,Bokaro,789324,5427,1140489,JH,Jharkhand,Bokaro,791709.0,5790.0,1155101.0
JH,Jharkhand,Chatra,336927,1301,457095,JH,Jharkhand,Chatra,338232.0,1334.0,458850.0
JH,Jharkhand,Deoghar,529823,2559,750936,JH,Jharkhand,Deoghar,531649.0,2670.0,755778.0
JH,Jharkhand,Dhanbad,922800,4037,1281838,JH,Jharkhand,Dhanbad,928069.0,4680.0,1286239.0
JH,Jharkhand,Dumka,530673,950,670433,JH,Jharkhand,Dumka,,,
JH,Jharkhand,East Singhbhum,1171122,5221,1453983,JH,Jharkhand,East Singhbhum,1174413.0,5637.0,1457665.0
JH,Jharkhand,Garhwa,406331,700,603488,JH,Jharkhand,Garhwa,407768.0,733.0,605316.0
JH,Jharkhand,Giridih,785587,1505,1031224,JH,Jharkhand,Giridih,,,
JH,Jharkhand,Godda,461232,1238,615533,JH,Jharkhand,Godda,463402.0,1466.0,617558.0
JH,Jharkhand,Gumla,367219,3788,511294,JH,Jharkhand,Gumla,370411.0,3947.0,515187.0
JH,Jharkhand,Hazaribagh,684758,2121,858141,JH,Jharkhand,Hazaribagh,686861.0,2258.0,860799.0
JH,Jharkhand,Jamtara,268194,294,392133,JH,Jharkhand,Jamtara,269402.0,331.0,393386.0
JH,Jharkhand,Khunti,218312,3151,296547,JH,Jharkhand,Khunti,219882.0,3411.0,297755.0
JH,Jharkhand,Koderma,252330,541,331199,JH,Jharkhand,Koderma,252559.0,575.0,331751.0
JH,Jharkhand,Latehar,239576,2315,355765,JH,Jharkhand,Latehar,240879.0,2365.0,357020.0
JH,Jharkhand,Lohardaga,163865,823,222540,JH,Jharkhand,Lohardaga,165070.0,880.0,224339.0
JH,Jharkhand,Pakur,279372,256,431830,JH,Jharkhand,Pakur,282750.0,300.0,434426.0
JH,Jharkhand,Palamu,730567,1432,927584,JH,Jharkhand,Palamu,733197.0,1581.0,932853.0
JH,Jharkhand,Ramgarh,399742,1646,526838,JH,Jharkhand,Ramgarh,400728.0,1743.0,527968.0
JH,Jharkhand,Ranchi,1188083,7738,1584778,JH,Jharkhand,Ranchi,1191755.0,8302.0,1588696.0
JH,Jharkhand,Sahibganj,353288,569,545003,JH,Jharkhand,Sahibganj,354336.0,601.0,546133.0
JH,Jharkhand,Saraikela-Kharsawan,369465,426,531855,JH,Jharkhand,Saraikela-Kharsawan,371808.0,461.0,534361.0
JH,Jharkhand,Simdega,242388,263,297169,JH,Jharkhand,Simdega,242897.0,271.0,297852.0
JH,Jharkhand,West Singhbhum,491124,1981,708499,JH,Jharkhand,West Singhbhum,492622.0,2225.0,711086.0
KA,Karnataka,Bagalkote,1165070,3492,1282662,KA,Karnataka,Bagalkote,1165787.0,3609.0,1283118.0
KA,Karnataka,Bengaluru Rural,717670,5208,850724,KA,Karnataka,Bengaluru Rural,718103.0,5276.0,851170.0
KA,Karnataka,Bengaluru Urban,1103084,8339,1420899,KA,Karnataka,Bengaluru Urban,1104014.0,8498.0,1421859.0
KA,Karnataka,Bengaluru Urban,7220935,53029,8857539,KA,Karnataka,Bengaluru Urban,7227550.0,55336.0,8864297.0
KA,Karnataka,Belagavi,3052249,15265,3364938,KA,Karnataka,Belagavi,3052636.0,15352.0,3365219.0
KA,Karnataka,Ballari,1634675,7891,1866742,KA,Karnataka,Ballari,1634924.0,7966.0,1866942.0
KA,Karnataka,Bidar,1008875,6067,1150246,KA,Karnataka,Bidar,1009650.0,6343.0,1150754.0
KA,Karnataka,Chamarajanagara,635263,2579,675095,KA,Karnataka,Chamarajanagara,635743.0,2623.0,675367.0
KA,Karnataka,Chikkamagaluru,696985,4026,742315,KA,Karnataka,Chikkamagaluru,697138.0,4046.0,742445.0
KA,Karnataka,Chikkaballapura,837334,4444,909378,KA,Karnataka,Chikkaballapura,840971.0,4519.0,911337.0
KA,Karnataka,Chitradurga,979704,5738,1106966,KA,Karnataka,Chitradurga,979939.0,5753.0,1107128.0
KA,Karnataka,Dakshina Kannada,1377689,14462,1540790,KA,Karnataka,Dakshina Kannada,1378302.0,14622.0,1541299.0
KA,Karnataka,Davanagere,989592,5090,1106657,KA,Karnataka,Davanagere,990433.0,5114.0,1107160.0
KA,Karnataka,Dharwad,1190110,7871,1364302,KA,Karnataka,Dharwad,1192023.0,8269.0,1365603.0
KA,Karnataka,Gadag,688280,4668,739745,KA,Karnataka,Gadag,688351.0,4733.0,740003.0
KA,Karnataka,Kalaburagi,1336879,5301,1607672,KA,Karnataka,Kalaburagi,1339665.0,5460.0,1609673.0
KA,Karnataka,Hassan,1185818,6754,1243222,KA,Karnataka,Hassan,1185943.0,6783.0,1243362.0
KA,Karnataka,Haveri,915117,4153,1048741,KA,Karnataka,Haveri,915659.0,4153.0,1049073.0
KA,Karnataka,Kodagu,382949,2494,395809,KA,Karnataka,Kodagu,382970.0,2530.0,395833.0
KA,Karnataka,Kolar,989594,4508,1129820,KA,Karnataka,Kolar,991171.0,4576.0,1130851.0
KA,Karnataka,Koppal,786636,3550,871258,KA,Karnataka,Koppal,786820.0,3565.0,871350.0
KA,Karnataka,Mandya,1206225,8423,1201367,KA,Karnataka,Mandya,1206246.0,8429.0,1201383.0
KA,Karnataka,Mysuru,2149915,17935,2283193,KA,Karnataka,Mysuru,2151677.0,18213.0,2284380.0
KA,Karnataka,Raichur,1004048,5687,1142814,KA,Karnataka,Raichur,1004920.0,5805.0,1143343.0
KA,Karnataka,Ramanagara,729559,4348,778636,KA,Karnataka,Ramanagara,729682.0,4379.0,778744.0
KA,Karnataka,Shivamogga,1065693,6683,1165839,KA,Karnataka,Shivamogga,1066066.0,6778.0,1166082.0
KA,Karnataka,Tumakuru,1641391,12336,1794608,KA,Karnataka,Tumakuru,1643885.0,12534.0,1796049.0
KA,Karnataka,Udupi,860436,9867,894325,KA,Karnataka,Udupi,860910.0,10004.0,894731.0
KA,Karnataka,Uttara Kannada,909996,9726,1010028,KA,Karnataka,Uttara Kannada,910312.0,9799.0,1010269.0
KA,Karnataka,Vijayapura,1468376,5303,1645056,KA,Karnataka,Vijayapura,1475913.0,5375.0,1649389.0
KA,Karnataka,Yadgir,639664,1813,740732,KA,Karnataka,Yadgir,641079.0,2109.0,744092.0
KL,Kerala,Alappuzha,1424404,11767,1445013,KL,Kerala,Alappuzha,1425148.0,11979.0,1446116.0
KL,Kerala,Ernakulam,2508204,17464,2871962,KL,Kerala,Ernakulam,2509482.0,17647.0,2873354.0
KL,Kerala,Idukki,715232,3233,816087,KL,Kerala,Idukki,715241.0,3239.0,816119.0
KL,Kerala,Kannur,1683958,14126,1753599,KL,Kerala,Kannur,1684029.0,14237.0,1753669.0
KL,Kerala,Kasaragod,776622,3673,835429,KL,Kerala,Kasaragod,777060.0,3809.0,835836.0
KL,Kerala,Kollam,1706758,10608,1745590,KL,Kerala,Kollam,1706809.0,10642.0,1745632.0
KL,Kerala,Kottayam,1303559,13236,1421005,KL,Kerala,Kottayam,1303908.0,13585.0,1421395.0
KL,Kerala,Kozhikode,1970468,12665,2130937,KL,Kerala,Kozhikode,1970570.0,12814.0,2131020.0
KL,Kerala,Malappuram,2291446,9978,2568489,KL,Kerala,Malappuram,2292224.0,10064.0,2570711.0
KL,Kerala,Palakkad,1724599,9490,1839863,KL,Kerala,Palakkad,1724641.0,9528.0,1839896.0
KL,Kerala,Pathanamthitta,895980,11003,950291,KL,Kerala,Pathanamthitta,896091.0,11078.0,950403.0
KL,Kerala,Thiruvananthapuram,2242581,23060,2352390,KL,Kerala,Thiruvananthapuram,2242837.0,23579.0,2352876.0
KL,Kerala,Thrissur,2151671,23569,2180854,KL,Kerala,Thrissur,2152624.0,24424.0,2181961.0
KL,Kerala,Wayanad,581474,5524,627620,KL,Kerala,Wayanad,581485.0,5555.0,627638.0
LA,Ladakh,Kargil,75677,774,90749,LA,Ladakh,Kargil,75678.0,774.0,90751.0
LA,Ladakh,Leh,101068,2798,138772,LA,Ladakh,Leh,101068.0,2798.0,138772.0
LD,Lakshadweep,Lakshadweep,53399,1169,60047,LD,Lakshadweep,Lakshadweep,53402.0,1211.0,60049.0
MP,Madhya Pradesh,Agar Malwa,443256,1731,485878,MP,Madhya Pradesh,Agar Malwa,443310.0,1751.0,486743.0
MP,Madhya Pradesh,Alirajpur,379874,4232,437913,MP,Madhya Pradesh,Alirajpur,380519.0,4854.0,438245.0
MP,Madhya Pradesh,Anuppur,493620,1772,520526,MP,Madhya Pradesh,Anuppur,493659.0,1944.0,520734.0
MP,Madhya Pradesh,Ashoknagar,552271,2252,615691,MP,Madhya Pradesh,Ashoknagar,552303.0,2319.0,615784.0
MP,Madhya Pradesh,Balaghat,1298881,12010,1342702,MP,Madhya Pradesh,Balaghat,1298906.0,12098.0,1344546.0
MP,Madhya Pradesh,Barwani,786161,3998,872934,MP,Madhya Pradesh,Barwani,787269.0,4191.0,874311.0
MP,Madhya Pradesh,Betul,1066249,7079,1142238,MP,Madhya Pradesh,Betul,1066481.0,7495.0,1143784.0
MP,Madhya Pradesh,Bhind,1082965,7874,1231996,MP,Madhya Pradesh,Bhind,1084404.0,10739.0,1232998.0
MP,Madhya Pradesh,Bhopal,1931779,26880,2288369,MP,Madhya Pradesh,Bhopal,1932496.0,27143.0,2289030.0
MP,Madhya Pradesh,Burhanpur,525535,3984,571595,MP,Madhya Pradesh,Burhanpur,526542.0,4257.0,573065.0
MP,Madhya Pradesh,Chhatarpur,1101840,3720,1278081,MP,Madhya Pradesh,Chhatarpur,1104320.0,4013.0,1281297.0
MP,Madhya Pradesh,Chhindwara,1649006,8869,1745428,MP,Madhya Pradesh,Chhindwara,1649029.0,8878.0,1745615.0
MP,Madhya Pradesh,Damoh,860784,5406,931495,MP,Madhya Pradesh,Damoh,860843.0,5484.0,932032.0
MP,Madhya Pradesh,Datia,577837,2407,640743,MP,Madhya Pradesh,Datia,577906.0,2441.0,641833.0
MP,Madhya Pradesh,Dewas,1050688,6595,1131030,MP,Madhya Pradesh,Dewas,1050743.0,6620.0,1131068.0
MP,Madhya Pradesh,Dhar,1424120,6729,1576570,MP,Madhya Pradesh,Dhar,1425018.0,6944.0,1584872.0
MP,Madhya Pradesh,Dindori,492895,4393,503994,MP,Madhya Pradesh,Dindori,492895.0,4417.0,503996.0
MP,Madhya Pradesh,Guna,844944,3973,937608,MP,Madhya Pradesh,Guna,845046.0,4044.0,938677.0
MP,Madhya Pradesh,Gwalior,1484788,12941,1682867,MP,Madhya Pradesh,Gwalior,1485719.0,13757.0,1686515.0
MP,Madhya Pradesh,Harda,394953,2011,438931,MP,Madhya Pradesh,Harda,395591.0,2109.0,439860.0
MP,Madhya Pradesh,Hoshangabad,889676,5107,956862,MP,Madhya Pradesh,Hoshangabad,889769.0,5377.0,958011.0
MP,Madhya Pradesh,Indore,2912436,25791,3329078,MP,Madhya Pradesh,Indore,2912879.0,25975.0,3329353.0
MP,Madhya Pradesh,Jabalpur,1996195,20180,2098103,MP,Madhya Pradesh,Jabalpur,1997804.0,22923.0,2099561.0
MP,Madhya Pradesh,Jhabua,593185,5103,667166,MP,Madhya Pradesh,Jhabua,593452.0,5162.0,667817.0
MP,Madhya Pradesh,Katni,892663,3219,950504,MP,Madhya Pradesh,Katni,892717.0,3282.0,950686.0
MP,Madhya Pradesh,Khandwa,919919,4077,981953,MP,Madhya Pradesh,Khandwa,920224.0,4464.0,983711.0
MP,Madhya Pradesh,Khargone,1184346,6549,1320045,MP,Madhya Pradesh,Khargone,1184366.0,6552.0,1320565.0
MP,Madhya Pradesh,Mandla,701107,3981,711651,MP,Madhya Pradesh,Mandla,701131.0,4004.0,711693.0
MP,Madhya Pradesh,Mandsaur,975902,5104,1035271,MP,Madhya Pradesh,Mandsaur,975940.0,5208.0,1037854.0
MP,Madhya Pradesh,Morena,1325665,9201,1516558,MP,Madhya Pradesh,Morena,1326019.0,9852.0,1520338.0
MP,Madhya Pradesh,Narsinghpur,795143,5538,866820,MP,Madhya Pradesh,Narsinghpur,795357.0,5699.0,867131.0
MP,Madhya Pradesh,Neemuch,589069,4688,625124,MP,Madhya Pradesh,Neemuch,589157.0,5272.0,626462.0
MP,Madhya Pradesh,Panna,648069,3998,727786,MP,Madhya Pradesh,Panna,648193.0,4008.0,728747.0
MP,Madhya Pradesh,Raisen,917880,4052,1015509,MP,Madhya Pradesh,Raisen,917952.0,4072.0,1015587.0
MP,Madhya Pradesh,Rajgarh,1025653,4351,1117183,MP,Madhya Pradesh,Rajgarh,1025693.0,4590.0,1117259.0
MP,Madhya Pradesh,Ratlam,1065752,5993,1126492,MP,Madhya Pradesh,Ratlam,1065879.0,6148.0,1130363.0
MP,Madhya Pradesh,Rewa,1682033,9089,1791874,MP,Madhya Pradesh,Rewa,1682503.0,9206.0,1792379.0
MP,Madhya Pradesh,Sagar,1605164,9183,1776827,MP,Madhya Pradesh,Sagar,1605989.0,10591.0,1777818.0
MP,Madhya Pradesh,Satna,1566626,4717,1720134,MP,Madhya Pradesh,Satna,1566829.0,5121.0,1720453.0
MP,Madhya Pradesh,Sehore,899544,6354,1001245,MP,Madhya Pradesh,Sehore,899581.0,6495.0,1001302.0
MP,Madhya Pradesh,Seoni,953673,9167,1001013,MP,Madhya Pradesh,Seoni,953864.0,9332.0,1003886.0
MP,Madhya Pradesh,Shahdol,756252,2381,810245,MP,Madhya Pradesh,Shahdol,756299.0,2827.0,810433.0
MP,Madhya Pradesh,Shajapur,647184,3378,689056,MP,Madhya Pradesh,Shajapur,647236.0,3435.0,689685.0
MP,Madhya Pradesh,Sheopur,424048,1648,466663,MP,Madhya Pradesh,Sheopur,424064.0,1821.0,468340.0
MP,Madhya Pradesh,Shivpuri,1114742,6838,1259091,MP,Madhya Pradesh,Shivpuri,1115860.0,7300.0,1259881.0
MP,Madhya Pradesh,Sidhi,679085,4004,738155,MP,Madhya Pradesh,Sidhi,679542.0,4870.0,748161.0
MP,Madhya Pradesh,Singrauli,726586,3418,874563,MP,Madhya Pradesh,Singrauli,726768.0,3453.0,874876.0
MP,Madhya Pradesh,Tikamgarh,966578,2761,1083855,MP,Madhya Pradesh,Tikamgarh,967434.0,3994.0,1086513.0
MP,Madhya Pradesh,Ujjain,1446862,7413,1553060,MP,Madhya Pradesh,Ujjain,1446923.0,7844.0,1553138.0
MP,Madhya Pradesh,Umaria,465357,1522,494551,MP,Madhya Pradesh,Umaria,465398.0,1539.0,494727.0
MP,Madhya Pradesh,Vidisha,984247,4633,1085942,MP,Madhya Pradesh,Vidisha,984538.0,4774.0,1091131.0
MH,Maharashtra,Ahmednagar,1943764,8463,2665615,MH,Maharashtra,Ahmednagar,1945615.0,8652.0,2667253.0
MH,Maharashtra,Akola,638446,3032,925514,MH,Maharashtra,Akola,638759.0,3169.0,925868.0
MH,Maharashtra,Amravati,1106647,4862,1559204,MH,Maharashtra,Amravati,1107096.0,5006.0,1559625.0
MH,Maharashtra,Aurangabad,1462825,6960,2298899,MH,Maharashtra,Aurangabad,1463734.0,7001.0,2299499.0
MH,Maharashtra,Beed,969687,3689,1405011,MH,Maharashtra,Beed,970553.0,3749.0,1405675.0
MH,Maharashtra,Bhandara,756858,7068,833994,MH,Maharashtra,Bhandara,756920.0,7073.0,834038.0
MH,Maharashtra,Buldhana,1008718,1853,1411524,MH,Maharashtra,Buldhana,1008871.0,1873.0,1411629.0
MH,Maharashtra,Chandrapur,1109987,2750,1360499,MH,Maharashtra,Chandrapur,1110425.0,2878.0,1360907.0
MH,Maharashtra,Dhule,938698,2773,1193170,MH,Maharashtra,Dhule,938886.0,2811.0,1193314.0
MH,Maharashtra,Gadchiroli,500294,830,629557,MH,Maharashtra,Gadchiroli,500947.0,837.0,630099.0
MH,Maharashtra,Gondia,737565,2466,846273,MH,Maharashtra,Gondia,737729.0,2466.0,846385.0
MH,Maharashtra,Hingoli,471832,1112,654173,MH,Maharashtra,Hingoli,472102.0,1161.0,654346.0
MH,Maharashtra,Jalgaon,1792367,8741,2336187,MH,Maharashtra,Jalgaon,1792711.0,8786.0,2337782.0
MH,Maharashtra,Jalna,830147,1710,1144419,MH,Maharashtra,Jalna,830170.0,1710.0,1144438.0
MH,Maharashtra,Kolhapur,2072015,9641,2553878,MH,Maharashtra,Kolhapur,2072954.0,9853.0,2554601.0
MH,Maharashtra,Latur,957396,3613,1365073,MH,Maharashtra,Latur,957916.0,3648.0,1365427.0
MH,Maharashtra,Mumbai,8447193,79758,11032119,MH,Maharashtra,Mumbai,8448432.0,80273.0,11033711.0
MH,Maharashtra,Nagpur,2441061,17957,3179421,MH,Maharashtra,Nagpur,2441798.0,18232.0,3180059.0
MH,Maharashtra,Nanded,1213676,2376,1737809,MH,Maharashtra,Nanded,1223634.0,2498.0,1744022.0
MH,Maharashtra,Nandurbar,615422,4154,854440,MH,Maharashtra,Nandurbar,615930.0,4184.0,854788.0
MH,Maharashtra,Nashik,2690624,19522,3793986,MH,Maharashtra,Nashik,2691202.0,19579.0,3794422.0
MH,Maharashtra,Osmanabad,626117,2867,888902,MH,Maharashtra,Osmanabad,626312.0,2868.0,889021.0
MH,Maharashtra,Palghar,1788330,6308,2205009,MH,Maharashtra,Palghar,1789774.0,6354.0,2206313.0
MH,Maharashtra,Parbhani,805007,1451,1067545,MH,Maharashtra,Parbhani,806412.0,1529.0,1068647.0
MH,Maharashtra,Pune,6841560,41512,8974535,MH,Maharashtra,Pune,6849604.0,43223.0,8981582.0
MH,Maharashtra,Raigad,1709030,7176,2171704,MH,Maharashtra,Raigad,1710627.0,7360.0,2172832.0
MH,Maharashtra,Ratnagiri,780132,5035,916202,MH,Maharashtra,Ratnagiri,780747.0,5046.0,916501.0
MH,Maharashtra,Sangli,1537310,6259,1877647,MH,Maharashtra,Sangli,1537494.0,6276.0,1877800.0
MH,Maharashtra,Satara,1656522,8612,1969321,MH,Maharashtra,Satara,1657066.0,8666.0,1969667.0
MH,Maharashtra,Sindhudurg,462316,1830,542115,MH,Maharashtra,Sindhudurg,462316.0,1830.0,542115.0
MH,Maharashtra,Solapur,1808187,6020,2497182,MH,Maharashtra,Solapur,1810059.0,6178.0,2498818.0
MH,Maharashtra,Thane,5072283,30843,6549572,MH,Maharashtra,Thane,5075763.0,31381.0,6551975.0
MH,Maharashtra,Wardha,606397,4209,786053,MH,Maharashtra,Wardha,606950.0,4281.0,786434.0
MH,Maharashtra,Washim,584776,1954,733752,MH,Maharashtra,Washim,586104.0,2044.0,736008.0
MH,Maharashtra,Yavatmal,1048884,3222,1463641,MH,Maharashtra,Yavatmal,1049592.0,3235.0,1464121.0
MN,Manipur,Bishnupur,101988,120,115962,MN,Manipur,Bishnupur,101992.0,120.0,116007.0
MN,Manipur,Chandel,22124,634,28598,MN,Manipur,Chandel,22148.0,673.0,28613.0
MN,Manipur,Churachandpur,85068,914,102674,MN,Manipur,Churachandpur,85068.0,935.0,102674.0
MN,Manipur,Imphal East,205776,1553,243767,MN,Manipur,Imphal East,205794.0,1556.0,243783.0
MN,Manipur,Imphal West,260730,1524,303573,MN,Manipur,Imphal West,260731.0,1524.0,303573.0
MN,Manipur,Jiribam,23882,88,28923,MN,Manipur,Jiribam,23882.0,88.0,28923.0
MN,Manipur,Kakching,69815,109,79233,MN,Manipur,Kakching,69815.0,109.0,79233.0
MN,Manipur,Kamjong,8500,20,12482,MN,Manipur,Kamjong,8524.0,20.0,12501.0
MN,Manipur,Kangpokpi,30502,37,40374,MN,Manipur,Kangpokpi,30554.0,37.0,40451.0
MN,Manipur,Noney,13879,199,20721,MN,Manipur,Noney,13879.0,199.0,20721.0
MN,Manipur,Pherzawl,12758,23,13676,MN,Manipur,Pherzawl,12758.0,23.0,13676.0
MN,Manipur,Senapati,24268,78,33311,MN,Manipur,Senapati,24268.0,109.0,33318.0
MN,Manipur,Tamenglong,16952,50,24386,MN,Manipur,Tamenglong,16953.0,50.0,24388.0
MN,Manipur,Tengnoupal,19487,334,27254,MN,Manipur,Tengnoupal,19511.0,334.0,27274.0
MN,Manipur,Thoubal,102302,171,128689,MN,Manipur,Thoubal,102353.0,173.0,128727.0
MN,Manipur,Ukhrul,21252,114,29225,MN,Manipur,Ukhrul,21337.0,115.0,29314.0
ML,Meghalaya,East Garo Hills,37087,361,53923,ML,Meghalaya,East Garo Hills,37094.0,361.0,53935.0
ML,Meghalaya,East Jaintia Hills,52649,208,75857,ML,Meghalaya,East Jaintia Hills,52649.0,208.0,75857.0
ML,Meghalaya,East Khasi Hills,286534,4779,326249,ML,Meghalaya,East Khasi Hills,286538.0,4779.0,326253.0
ML,Meghalaya,North Garo Hills,47049,286,61736,ML,Meghalaya,North Garo Hills,47064.0,286.0,61762.0
ML,Meghalaya,Ribhoi,75336,392,103618,ML,Meghalaya,Ribhoi,75339.0,415.0,103619.0
ML,Meghalaya,South Garo Hills,30546,211,43224,ML,Meghalaya,South Garo Hills,30580.0,212.0,43393.0
ML,Meghalaya,South West Garo Hills,59752,495,74258,ML,Meghalaya,South West Garo Hills,59752.0,495.0,74258.0
ML,Meghalaya,South West Khasi Hills,25301,35,32856,ML,Meghalaya,South West Khasi Hills,25301.0,35.0,32856.0
ML,Meghalaya,West Garo Hills,167035,3129,206407,ML,Meghalaya,West Garo Hills,167035.0,3129.0,206408.0
ML,Meghalaya,West Jaintia Hills,71652,359,83619,ML,Meghalaya,West Jaintia Hills,71652.0,359.0,83619.0
ML,Meghalaya,West Khasi Hills,59786,222,73794,ML,Meghalaya,West Khasi Hills,59787.0,224.0,73799.0
MZ,Mizoram,Aizawl,167027,1578,183600,MZ,Mizoram,Aizawl,167027.0,1578.0,183600.0
MZ,Mizoram,Aizawl,103315,724,114926,MZ,Mizoram,Aizawl,103315.0,724.0,114926.0
MZ,Mizoram,Champhai,62224,571,70730,MZ,Mizoram,Champhai,62224.0,571.0,70730.0
MZ,Mizoram,Kolasib,41253,741,48373,MZ,Mizoram,Kolasib,41253.0,741.0,48373.0
MZ,Mizoram,Lawngtlai,38905,283,59838,MZ,Mizoram,Lawngtlai,38905.0,283.0,59838.0
MZ,Mizoram,Lunglei,85963,583,98848,MZ,Mizoram,Lunglei,85963.0,583.0,98848.0
MZ,Mizoram,Mamit,36113,611,45044,MZ,Mizoram,Mamit,36113.0,611.0,45044.0
MZ,Mizoram,Serchhip,38744,792,43728,MZ,Mizoram,Serchhip,38744.0,792.0,43728.0
MZ,Mizoram,Saiha,25445,235,32339,MZ,Mizoram,Saiha,25454.0,241.0,32354.0
NL,Nagaland,Dimapur,223768,2152,292005,NL,Nagaland,Dimapur,223768.0,2152.0,292005.0
NL,Nagaland,Kiphire,10673,157,19123,NL,Nagaland,Kiphire,10681.0,167.0,19130.0
NL,Nagaland,Kohima,94184,349,116165,NL,Nagaland,Kohima,94187.0,349.0,116169.0
NL,Nagaland,Longleng,16577,0,21195,NL,Nagaland,Longleng,16587.0,0.0,21203.0
NL,Nagaland,Mokokchung,62283,404,72233,NL,Nagaland,Mokokchung,62284.0,404.0,72266.0
NL,Nagaland,Mon,55466,106,71111,NL,Nagaland,Mon,55526.0,106.0,71198.0
NL,Nagaland,Peren,15864,366,22719,NL,Nagaland,Peren,15864.0,366.0,22719.0
NL,Nagaland,Phek,26100,24,38032,NL,Nagaland,Phek,26148.0,38.0,38098.0
NL,Nagaland,Tuensang,31392,194,44239,NL,Nagaland,Tuensang,31400.0,194.0,44244.0
NL,Nagaland,Wokha,26796,49,34991,NL,Nagaland,Wokha,26796.0,58.0,34991.0
NL,Nagaland,Zunheboto,27712,171,37948,NL,Nagaland,Zunheboto,27762.0,173.0,38041.0
OR,Odisha,Angul,655967,4923,788684,OR,Odisha,Angul,656416.0,5232.0,789287.0
OR,Odisha,Balangir,761637,6461,962737,OR,Odisha,Balangir,763533.0,6672.0,965721.0
OR,Odisha,Balasore,1186754,11741,1392285,OR,Odisha,Balasore,1189845.0,12025.0,1394798.0
OR,Odisha,Bargarh,692067,6194,881876,OR,Odisha,Bargarh,692353.0,6251.0,882648.0
OR,Odisha,Bhadrak,991299,3877,1033080,OR,Odisha,Bhadrak,992435.0,4100.0,1034622.0
OR,Odisha,Boudh,217072,1031,265436,OR,Odisha,Boudh,217959.0,1203.0,266146.0
OR,Odisha,Cuttack,1197141,19232,1508997,OR,Odisha,Cuttack,1198584.0,19315.0,1510180.0
OR,Odisha,Deogarh,156814,1489,200954,OR,Odisha,Deogarh,157754.0,1528.0,201636.0
