,,,15/01/2022,15/01/2022,15/01/2022,,,,16/01/2022,16/01/2022,16/01/2022
State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
AS,Assam,Chirang,220563,1107,275397,AS,Assam,Chirang,220894.0,1123.0,275601.0
AS,Assam,Darrang,471858,696,561696,AS,Assam,Darrang,472140.0,726.0,562015.0
AS,Assam,Dhemaji,345372,303,403050,AS,Assam,Dhemaji,346806.0,328.0,404052.0
AS,Assam,Dhubri,812103,2139,937961,AS,Assam,Dhubri,814293.0,2249.0,939359.0
AS,Assam,Dibrugarh,780509,3012,887741,AS,Assam,Dibrugarh,782073.0,3187.0,888955.0
AS,Assam,Dima Hasao,95099,446,129205,AS,Assam,Dima Hasao,95281.0,579.0,129315.0
AS,Assam,Goalpara,544072,482,629338,AS,Assam,Goalpara,544119.0,482.0,629422.0
AS,Assam,Golaghat,590342,1139,691086,AS,Assam,Golaghat,590609.0,1141.0,691284.0
AS,Assam,Hailakandi,331707,676,403729,AS,Assam,Hailakandi,332096.0,699.0,403947.0
AS,Assam,Hojai,553875,530,590103,AS,Assam,Hojai,554073.0,542.0,590239.0
AS,Assam,Jorhat,578583,1475,648313,AS,Assam,Jorhat,579107.0,1532.0,648800.0
AS,Assam,Kamrup Metropolitan,1187190,7463,1424831,AS,Assam,Kamrup Metropolitan,1189168.0,7805.0,1426964.0
AS,Assam,Kamrup,949796,1471,1090011,AS,Assam,Kamrup,950076.0,1517.0,1090253.0
AS,Assam,Karbi Anglong,277873,1130,348942,AS,Assam,Karbi Anglong,278714.0,1170.0,349674.0
AS,Assam,Karimganj,557436,788,630520,AS,Assam,Karimganj,558323.0,828.0,631002.0
AS,Assam,Kokrajhar,393185,723,490353,AS,Assam,Kokrajhar,393697.0,826.0,490749.0
AS,Assam,Lakhimpur,587210,361,666302,AS,Assam,Lakhimpur,587560.0,375.0,666574.0
AS,Assam,Majuli,116323,223,128040,AS,Assam,Majuli,116403.0,226.0,128110.0
AS,Assam,Morigaon,453066,925,541811,AS,Assam,Morigaon,453772.0,931.0,542329.0
AS,Assam,Nagaon,978487,2795,1088204,AS,Assam,Nagaon,980868.0,2906.0,1089765.0
AS,Assam,Nalbari,407127,643,462142,AS,Assam,Nalbari,408235.0,702.0,463025.0
AS,Assam,Sivasagar,396125,606,454114,AS,Assam,Sivasagar,397416.0,724.0,454976.0
AS,Assam,Sonitpur,703195,2222,748131,AS,Assam,Sonitpur,703658.0,2344.0,748480.0
AS,Assam,South Salmara Mankachar,201041,84,236019,AS,Assam,South Salmara Mankachar,201894.0,91.0,236619.0
AS,Assam,Tinsukia,596539,1184,742749,AS,Assam,Tinsukia,596703.0,1184.0,742836.0
AS,Assam,Udalguri,348443,916,456203,AS,Assam,Udalguri,348758.0,922.0,456386.0
AS,Assam,West Karbi Anglong,75517,57,129552,AS,Assam,West Karbi Anglong,75611.0,61.0,129675.0
BR,Bihar,Araria,967412,4652,1273608,BR,Bihar,Araria,967773.0,4690.0,1274099.0
BR,Bihar,Arwal,293316,1114,339444,BR,Bihar,Arwal,294289.0,1216.0,340148.0
BR,Bihar,Aurangabad,1057446,2613,1357141,BR,Bihar,Aurangabad,1057867.0,2660.0,1357624.0
BR,Bihar,Banka,862621,5463,1008235,BR,Bihar,Banka,864089.0,5568.0,1010238.0
BR,Bihar,Begusarai,1227806,7314,1397769,BR,Bihar,Begusarai,1237062.0,7629.0,1404079.0
BR,Bihar,Bhagalpur,1281393,6445,1559050,BR,Bihar,Bhagalpur,1287978.0,6653.0,1565334.0
BR,Bihar,Bhojpur,1110088,3684,1342019,BR,Bihar,Bhojpur,1113702.0,3808.0,1344793.0
BR,Bihar,Buxar,843734,3788,953433,BR,Bihar,Buxar,846106.0,4183.0,955257.0
BR,Bihar,Darbhanga,1747457,9677,1919032,BR,Bihar,Darbhanga,1751148.0,10358.0,1922912.0
BR,Bihar,East Champaran,2507996,8672,2671956,BR,Bihar,East Champaran,2514592.0,8954.0,2679625.0
BR,Bihar,Gaya,1669690,14384,2211104,BR,Bihar,Gaya,1676570.0,14977.0,2216556.0
BR,Bihar,Gopalganj,1152931,3031,1254804,BR,Bihar,Gopalganj,1154967.0,3103.0,1256465.0
BR,Bihar,Jamui,717030,3329,836879,BR,Bihar,Jamui,726068.0,3627.0,842769.0
BR,Bihar,Jehanabad,418693,1919,513033,BR,Bihar,Jehanabad,419285.0,1980.0,513901.0
BR,Bihar,Kaimur,748534,2132,854875,BR,Bihar,Kaimur,749222.0,2147.0,855790.0
BR,Bihar,Katihar,1270506,2993,1532058,BR,Bihar,Katihar,1279249.0,3155.0,1538360.0
BR,Bihar,Khagaria,652374,4306,735973,BR,Bihar,Khagaria,657707.0,4755.0,739221.0
BR,Bihar,Kishanganj,630104,4495,764583,BR,Bihar,Kishanganj,631895.0,4541.0,766427.0
BR,Bihar,Lakhisarai,418505,2054,478790,BR,Bihar,Lakhisarai,419632.0,2252.0,480659.0
BR,Bihar,Madhepura,798100,3865,914391,BR,Bihar,Madhepura,799516.0,3933.0,916020.0
BR,Bihar,Madhubani,1813958,9548,1897278,BR,Bihar,Madhubani,1817571.0,9932.0,1901793.0
BR,Bihar,Munger,689876,2703,809951,BR,Bihar,Munger,690746.0,2924.0,811485.0
BR,Bihar,Muzaffarpur,1930497,7891,2245474,BR,Bihar,Muzaffarpur,1940799.0,8077.0,2253457.0
BR,Bihar,Nalanda,1285916,5386,1593377,BR,Bihar,Nalanda,1287541.0,5751.0,1595767.0
BR,Bihar,Nawada,938474,2845,1084922,BR,Bihar,Nawada,940129.0,2951.0,1086274.0
BR,Bihar,Patna,3218865,20738,3811617,BR,Bihar,Patna,3221613.0,21729.0,3816513.0
BR,Bihar,Purnia,1412266,8325,1845010,BR,Bihar,Purnia,1422319.0,8402.0,1853341.0
BR,Bihar,Rohtas,1285739,5513,1537999,BR,Bihar,Rohtas,1291158.0,5949.0,1541585.0
BR,Bihar,Saharsa,803783,3550,970178,BR,Bihar,Saharsa,809004.0,3983.0,974221.0
BR,Bihar,Samastipur,1703239,8485,1935162,BR,Bihar,Samastipur,1705862.0,8713.0,1938416.0
BR,Bihar,Saran,1675540,6332,1924634,BR,Bihar,Saran,1685251.0,6637.0,1933920.0
BR,Bihar,Sheikhpura,258714,1875,300172,BR,Bihar,Sheikhpura,258886.0,1901.0,300545.0
BR,Bihar,Sheohar,287476,1315,307761,BR,Bihar,Sheohar,287500.0,1318.0,307775.0
BR,Bihar,Sitamarhi,1312649,5650,1429232,BR,Bihar,Sitamarhi,1316316.0,5897.0,1432640.0
BR,Bihar,Siwan,1527856,3544,1891267,BR,Bihar,Siwan,1538731.0,3777.0,1902440.0
BR,Bihar,Supaul,911183,5295,1060679,BR,Bihar,Supaul,913367.0,5341.0,1063061.0
BR,Bihar,Vaishali,1498863,6879,1714923,BR,Bihar,Vaishali,1501337.0,7010.0,1717424.0
BR,Bihar,West Champaran,1639836,9542,1919965,BR,Bihar,West Champaran,1642993.0,9883.0,1922827.0
CH,Chandigarh,Chandigarh,828264,5895,1096246,CH,Chandigarh,Chandigarh,829563.0,6135.0,1098259.0
CT,Chhattisgarh,Balod,445155,5290,513048,CT,Chhattisgarh,Balod,446150.0,5446.0,513665.0
CT,Chhattisgarh,Baloda Bazar,420677,4409,627948,CT,Chhattisgarh,Baloda Bazar,420796.0,4491.0,628017.0
