09/01/2022,Assam,Darrang,1123424,28648,33,667890,455534,550040,573230,154,63349,1060075
09/01/2022,Assam,Kamrup Metropolitan,2507784,27069,23,1348576,1159208,1393398,1113911,475,347701,2160083
09/01/2022,Assam,Kamrup Rural,2152172,1910,5,1233172,919000,1066617,1085283,272,248821,1900965
09/01/2022,Assam,Karbi-Anglong,669708,72381,72,407404,262304,335134,334490,84,259174,410534
09/01/2022,Assam,Nalbari,934828,7588,28,537380,397448,453751,480961,116,48757,886071
09/01/2022,Assam,Golaghat,1375925,3461,14,799428,576497,679793,695898,234,119493,1256432
09/01/2022,Assam,Jorhat,1300769,5015,28,733398,567371,638433,662145,191,90105,1210664
09/01/2022,Assam,Morigaon,1119511,28529,28,683971,435540,530837,588554,120,76001,1043510
09/01/2022,Assam,Nagaon,2254310,46211,47,1318006,936304,1062197,1191792,321,115604,2138706
09/01/2022,Assam,Bongaigaon,970279,78534,95,547996,422283,476776,493344,159,61524,908755
09/01/2022,Assam,Chirang,533263,3373,15,321828,211435,268589,264612,62,35461,497802
09/01/2022,Assam,Dhubri,1843363,67603,113,1069428,773935,913276,929873,214,54539,1788824
09/01/2022,Assam,Goalpara,1261585,1361,4,738378,523207,614344,647047,194,52033,1209552
09/01/2022,Assam,Kokrajhar,961311,10430,28,586090,375221,477573,483634,104,49683,911628
09/01/2022,Assam,Dhemaji,825090,301,1,486790,338300,397726,427229,135,80256,744834
09/01/2022,Assam,Lakhimpur,1344498,6154,9,769572,574926,655474,688838,186,140047,1204451
09/01/2022,Assam,Sonitpur,1542160,9774,46,851418,690742,738311,803600,249,527647,1014513
09/01/2022,Assam,Udalguri,914858,1700,3,583132,331726,444799,469959,100,35385,879473
09/01/2022,Assam,Cachar,2031888,32865,46,1200513,831375,1003973,1027637,278,178011,1853877
09/01/2022,Assam,Dima Hasao,233607,4094,10,141777,91830,126610,106935,62,49476,184131
09/01/2022,Assam,Hailakandi,785856,14790,40,463821,322035,396911,388777,168,48779,737077
09/01/2022,Assam,Karimganj,1281684,97970,51,750922,530762,615498,666026,160,63732,1217952
09/01/2022,Assam,Hojai,1216889,67783,94,675274,541615,582223,634484,182,214548,1002341
09/01/2022,Assam,Biswanath,859121,23160,49,506353,352768,415211,443797,113,43983,815138
09/01/2022,Assam,Charaideo,574341,37854,51,348202,226139,280377,293901,63,28188,546153
09/01/2022,Assam,Majuli,252440,4640,30,136894,115546,127315,125099,26,24898,227542
09/01/2022,Assam,South Salmara Mankachar,453902,28840,41,264948,188954,227062,226789,51,50414,403488
09/01/2022,Assam,West Karbi Anglong,246274,72800,44,173679,72595,126138,120104,32,20391,225883
09/01/2022,Bihar,Madhepura,1898316,63020,210,1113025,785291,895902,1002029,385,34204,1864112
